Model,Threshold,Accuracy,Precision,Recall,F1-Score,AUC-ROC
SVM_RBF,0.5,0.592,0.6,0.6333,0.6162,0.6704
RandomForest,0.5,0.6437,0.6522,0.6667,0.6593,0.6549
VotingEnsemble,0.5,0.6149,0.6211,0.6556,0.6378,0.6542
SVM_Linear,0.5,0.6092,0.6038,0.7111,0.6531,0.644
MLP,0.5,0.5977,0.6042,0.6444,0.6237,0.6389
Bagging_LR,0.5,0.6092,0.61,0.6778,0.6421,0.6337
LR,0.5,0.592,0.5979,0.6444,0.6203,0.6331
LDA,0.5,0.592,0.5922,0.6778,0.6321,0.6316
ExtraTrees,0.5,0.5805,0.5895,0.6222,0.6054,0.6292
GradientBoosting,0.5,0.6034,0.6129,0.6333,0.623,0.6205
GaussianNB,0.5,0.5862,0.5938,0.6333,0.6129,0.6015
DecisionTree,0.5,0.546,0.5567,0.6,0.5775,0.5933
KNN,0.5,0.5402,0.5581,0.5333,0.5455,0.5792
