Model,Threshold,Accuracy,Precision,Recall,F1-Score,AUC-ROC
SVM_RBF,0.5,0.5977,0.6,0.6667,0.6316,0.6265
MLP,0.5,0.5402,0.5658,0.4778,0.5181,0.612
VotingEnsemble,0.5,0.5517,0.5638,0.5889,0.5761,0.6049
Bagging_LR,0.5,0.5862,0.6047,0.5778,0.5909,0.6048
RandomForest,0.5,0.5632,0.5714,0.6222,0.5957,0.5915
LR,0.5,0.5805,0.6049,0.5444,0.5731,0.5906
KNN,0.5,0.569,0.5843,0.5778,0.581,0.5876
GaussianNB,0.5,0.5517,0.5714,0.5333,0.5517,0.5858
ExtraTrees,0.5,0.5747,0.58,0.6444,0.6105,0.5844
SVM_Linear,0.5,0.5575,0.5619,0.6556,0.6051,0.5765
LDA,0.5,0.5287,0.54,0.6,0.5684,0.5688
GradientBoosting,0.5,0.5287,0.5455,0.5333,0.5393,0.5573
DecisionTree,0.5,0.4828,0.5,0.4444,0.4706,0.4952
